Area_name,Area_type,Average_2018_2019,Category,Count,Variation (%),Week_ending
Renfrewshire,HSC partnership,215.5,Quintile 2,237,10,26-Jan-20
Renfrewshire,HSC partnership,178,Quintile 3,198,11.2,26-Jan-20
Renfrewshire,HSC partnership,164,Quintile 4,147,-10.4,26-Jan-20
Renfrewshire,HSC partnership,126,Quintile 5 - least deprived,127,0.8,26-Jan-20
Scotland,Scotland,7362.5,Quintile 1 - most deprived,7570,2.8,26-Jan-20
Scotland,Scotland,5700.5,Quintile 2,5857,2.7,26-Jan-20
Scotland,Scotland,4378.5,Quintile 3,4479,2.3,26-Jan-20
Scotland,Scotland,3943,Quintile 4,4028,2.2,26-Jan-20
Scotland,Scotland,3362,Quintile 5 - least deprived,3385,0.7,26-Jan-20
Scottish Borders,HSC partnership,45,Quintile 1 - most deprived,54,20,26-Jan-20
Scottish Borders,HSC partnership,99,Quintile 2,114,15.2,26-Jan-20
Scottish Borders,HSC partnership,199,Quintile 3,189,-5,26-Jan-20
Scottish Borders,HSC partnership,188,Quintile 4,152,-19.1,26-Jan-20
Scottish Borders,HSC partnership,44.5,Quintile 5 - least deprived,32,-28.1,26-Jan-20
Shetland Islands,HSC partnership,34,Quintile 3,29,-14.7,26-Jan-20
Shetland Islands,HSC partnership,84.5,Quintile 4,90,6.5,26-Jan-20
South Ayrshire,HSC partnership,154,Quintile 1 - most deprived,162,5.2,26-Jan-20
South Ayrshire,HSC partnership,157.5,Quintile 2,175,11.1,26-Jan-20
South Ayrshire,HSC partnership,138.5,Quintile 3,124,-10.5,26-Jan-20
South Ayrshire,HSC partnership,75,Quintile 4,75,0,26-Jan-20
South Ayrshire,HSC partnership,101.5,Quintile 5 - least deprived,107,5.4,26-Jan-20
South Lanarkshire,HSC partnership,509,Quintile 1 - most deprived,478,-6.1,26-Jan-20
South Lanarkshire,HSC partnership,587,Quintile 2,519,-11.6,26-Jan-20
South Lanarkshire,HSC partnership,352,Quintile 3,328,-6.8,26-Jan-20
South Lanarkshire,HSC partnership,312,Quintile 4,333,6.7,26-Jan-20
South Lanarkshire,HSC partnership,211,Quintile 5 - least deprived,213,0.9,26-Jan-20
West Dunbartonshire,HSC partnership,184.5,Quintile 1 - most deprived,171,-7.3,26-Jan-20
West Dunbartonshire,HSC partnership,81.5,Quintile 2,125,53.4,26-Jan-20
West Dunbartonshire,HSC partnership,53,Quintile 3,41,-22.6,26-Jan-20
West Dunbartonshire,HSC partnership,35,Quintile 4,37,5.7,26-Jan-20
West Dunbartonshire,HSC partnership,11,Quintile 5 - least deprived,14,27.3,26-Jan-20
West Lothian,HSC partnership,220,Quintile 1 - most deprived,237,7.7,26-Jan-20
West Lothian,HSC partnership,295,Quintile 2,334,13.2,26-Jan-20
West Lothian,HSC partnership,221,Quintile 3,254,14.9,26-Jan-20
West Lothian,HSC partnership,153,Quintile 4,163,6.5,26-Jan-20
West Lothian,HSC partnership,128.5,Quintile 5 - least deprived,107,-16.7,26-Jan-20
Western Isles,HSC partnership,30.5,Quintile 2,25,-18,26-Jan-20
Western Isles,HSC partnership,69,Quintile 3,81,17.4,26-Jan-20
Western Isles,HSC partnership,7.5,Quintile 4,12,60,26-Jan-20
Aberdeen City,HSC partnership,121,Quintile 1 - most deprived,113,-6.6,02-Feb-20
Aberdeen City,HSC partnership,230,Quintile 2,231,0.4,02-Feb-20
Aberdeen City,HSC partnership,133.5,Quintile 3,164,22.8,02-Feb-20
Aberdeen City,HSC partnership,146,Quintile 4,145,-0.7,02-Feb-20
Aberdeen City,HSC partnership,258.5,Quintile 5 - least deprived,277,7.2,02-Feb-20
Aberdeenshire,HSC partnership,8,Quintile 1 - most deprived,10,25,02-Feb-20
Aberdeenshire,HSC partnership,33.5,Quintile 2,33,-1.5,02-Feb-20
Aberdeenshire,HSC partnership,91.5,Quintile 3,69,-24.6,02-Feb-20
Aberdeenshire,HSC partnership,176.5,Quintile 4,200,13.3,02-Feb-20
Aberdeenshire,HSC partnership,191,Quintile 5 - least deprived,223,16.8,02-Feb-20
Angus,HSC partnership,16.5,Quintile 1 - most deprived,23,39.4,02-Feb-20
Angus,HSC partnership,30.5,Quintile 2,38,24.6,02-Feb-20
Angus,HSC partnership,60.5,Quintile 3,84,38.8,02-Feb-20
Angus,HSC partnership,57,Quintile 4,64,12.3,02-Feb-20
Angus,HSC partnership,38,Quintile 5 - least deprived,32,-15.8,02-Feb-20
Argyll & Bute,HSC partnership,17,Quintile 1 - most deprived,15,-11.8,02-Feb-20
Argyll & Bute,HSC partnership,35.5,Quintile 2,38,7,02-Feb-20
Argyll & Bute,HSC partnership,80.5,Quintile 3,95,18,02-Feb-20
Argyll & Bute,HSC partnership,67.5,Quintile 4,48,-28.9,02-Feb-20
Argyll & Bute,HSC partnership,15,Quintile 5 - least deprived,18,20,02-Feb-20
Clackmannanshire & Stirling,HSC partnership,106,Quintile 1 - most deprived,99,-6.6,02-Feb-20
Clackmannanshire & Stirling,HSC partnership,94,Quintile 2,94,0,02-Feb-20
Clackmannanshire & Stirling,HSC partnership,62,Quintile 3,66,6.5,02-Feb-20
Clackmannanshire & Stirling,HSC partnership,84.5,Quintile 4,92,8.9,02-Feb-20
Clackmannanshire & Stirling,HSC partnership,53,Quintile 5 - least deprived,63,18.9,02-Feb-20
Dumfries & Galloway,HSC partnership,107.5,Quintile 1 - most deprived,103,-4.2,02-Feb-20
Dumfries & Galloway,HSC partnership,288,Quintile 2,299,3.8,02-Feb-20
Dumfries & Galloway,HSC partnership,261.5,Quintile 3,243,-7.1,02-Feb-20
Dumfries & Galloway,HSC partnership,107,Quintile 4,122,14,02-Feb-20
Dumfries & Galloway,HSC partnership,56.5,Quintile 5 - least deprived,57,0.9,02-Feb-20
Dundee City,HSC partnership,259,Quintile 1 - most deprived,242,-6.6,02-Feb-20
Dundee City,HSC partnership,109.5,Quintile 2,136,24.2,02-Feb-20
Dundee City,HSC partnership,71,Quintile 3,69,-2.8,02-Feb-20
Dundee City,HSC partnership,69,Quintile 4,94,36.2,02-Feb-20
Dundee City,HSC partnership,62.5,Quintile 5 - least deprived,65,4,02-Feb-20
East Ayrshire,HSC partnership,279,Quintile 1 - most deprived,269,-3.6,02-Feb-20
East Ayrshire,HSC partnership,185.5,Quintile 2,202,8.9,02-Feb-20
East Ayrshire,HSC partnership,111.5,Quintile 3,121,8.5,02-Feb-20
East Ayrshire,HSC partnership,77,Quintile 4,71,-7.8,02-Feb-20
East Ayrshire,HSC partnership,49,Quintile 5 - least deprived,50,2,02-Feb-20
East Dunbartonshire,HSC partnership,27,Quintile 1 - most deprived,31,14.8,02-Feb-20
East Dunbartonshire,HSC partnership,81,Quintile 2,70,-13.6,02-Feb-20
East Dunbartonshire,HSC partnership,27,Quintile 3,17,-37,02-Feb-20
East Dunbartonshire,HSC partnership,70.5,Quintile 4,68,-3.5,02-Feb-20
East Dunbartonshire,HSC partnership,189,Quintile 5 - least deprived,166,-12.2,02-Feb-20
East Lothian,HSC partnership,23.5,Quintile 1 - most deprived,28,19.1,02-Feb-20
East Lothian,HSC partnership,157,Quintile 2,155,-1.3,02-Feb-20
East Lothian,HSC partnership,91,Quintile 3,81,-11,02-Feb-20
East Lothian,HSC partnership,98.5,Quintile 4,124,25.9,02-Feb-20
East Lothian,HSC partnership,59,Quintile 5 - least deprived,73,23.7,02-Feb-20
East Renfrewshire,HSC partnership,44.5,Quintile 1 - most deprived,52,16.9,02-Feb-20
East Renfrewshire,HSC partnership,49.5,Quintile 2,63,27.3,02-Feb-20
East Renfrewshire,HSC partnership,51,Quintile 3,43,-15.7,02-Feb-20
East Renfrewshire,HSC partnership,63,Quintile 4,59,-6.3,02-Feb-20
East Renfrewshire,HSC partnership,153.5,Quintile 5 - least deprived,185,20.5,02-Feb-20
Edinburgh,HSC partnership,463.5,Quintile 1 - most deprived,484,4.4,02-Feb-20
Edinburgh,HSC partnership,386.5,Quintile 2,379,-1.9,02-Feb-20
Edinburgh,HSC partnership,276.5,Quintile 3,257,-7.1,02-Feb-20
Edinburgh,HSC partnership,301,Quintile 4,283,-6,02-Feb-20
Edinburgh,HSC partnership,621.5,Quintile 5 - least deprived,668,7.5,02-Feb-20
Falkirk,HSC partnership,147.5,Quintile 1 - most deprived,138,-6.4,02-Feb-20
Falkirk,HSC partnership,250,Quintile 2,232,-7.2,02-Feb-20
Falkirk,HSC partnership,127.5,Quintile 3,136,6.7,02-Feb-20
Falkirk,HSC partnership,89,Quintile 4,103,15.7,02-Feb-20
Falkirk,HSC partnership,91.5,Quintile 5 - least deprived,110,20.2,02-Feb-20
Fife,HSC partnership,418.5,Quintile 1 - most deprived,394,-5.9,02-Feb-20
Fife,HSC partnership,322.5,Quintile 2,319,-1.1,02-Feb-20
Fife,HSC partnership,270,Quintile 3,252,-6.7,02-Feb-20
Fife,HSC partnership,158.5,Quintile 4,171,7.9,02-Feb-20
Fife,HSC partnership,175,Quintile 5 - least deprived,200,14.3,02-Feb-20
Glasgow City,HSC partnership,1950,Quintile 1 - most deprived,1976,1.3,02-Feb-20
Glasgow City,HSC partnership,551.5,Quintile 2,528,-4.3,02-Feb-20
Glasgow City,HSC partnership,340.5,Quintile 3,315,-7.5,02-Feb-20
Glasgow City,HSC partnership,239.5,Quintile 4,239,-0.2,02-Feb-20
Glasgow City,HSC partnership,203,Quintile 5 - least deprived,184,-9.4,02-Feb-20
Highland,HSC partnership,111,Quintile 1 - most deprived,99,-10.8,02-Feb-20
Highland,HSC partnership,198.5,Quintile 2,208,4.8,02-Feb-20
Highland,HSC partnership,249,Quintile 3,268,7.6,02-Feb-20
Highland,HSC partnership,277.5,Quintile 4,275,-0.9,02-Feb-20
Highland,HSC partnership,84,Quintile 5 - least deprived,91,8.3,02-Feb-20
Inverclyde,HSC partnership,291,Quintile 1 - most deprived,321,10.3,02-Feb-20
Inverclyde,HSC partnership,77.5,Quintile 2,82,5.8,02-Feb-20
Inverclyde,HSC partnership,78,Quintile 3,81,3.8,02-Feb-20
Inverclyde,HSC partnership,71.5,Quintile 4,64,-10.5,02-Feb-20
Inverclyde,HSC partnership,41,Quintile 5 - least deprived,63,53.7,02-Feb-20
Midlothian,HSC partnership,68,Quintile 1 - most deprived,61,-10.3,02-Feb-20
Midlothian,HSC partnership,200.5,Quintile 2,203,1.2,02-Feb-20
Midlothian,HSC partnership,115.5,Quintile 3,142,22.9,02-Feb-20
Midlothian,HSC partnership,66.5,Quintile 4,60,-9.8,02-Feb-20
Midlothian,HSC partnership,50,Quintile 5 - least deprived,59,18,02-Feb-20
Moray,HSC partnership,6,Quintile 1 - most deprived,5,-16.7,02-Feb-20
Moray,HSC partnership,94,Quintile 2,95,1.1,02-Feb-20
Moray,HSC partnership,121.5,Quintile 3,144,18.5,02-Feb-20
Moray,HSC partnership,149,Quintile 4,170,14.1,02-Feb-20
Moray,HSC partnership,71.5,Quintile 5 - least deprived,82,14.7,02-Feb-20
NHS Ayrshire & Arran,Health board,795,Quintile 1 - most deprived,786,-1.1,02-Feb-20
NHS Ayrshire & Arran,Health board,504,Quintile 2,504,0,02-Feb-20
NHS Ayrshire & Arran,Health board,305,Quintile 3,315,3.3,02-Feb-20
NHS Ayrshire & Arran,Health board,215,Quintile 4,218,1.4,02-Feb-20
NHS Ayrshire & Arran,Health board,188,Quintile 5 - least deprived,175,-6.9,02-Feb-20
NHS Borders,Health board,39.5,Quintile 1 - most deprived,56,41.8,02-Feb-20
NHS Borders,Health board,89.5,Quintile 2,97,8.4,02-Feb-20
NHS Borders,Health board,167,Quintile 3,193,15.6,02-Feb-20
NHS Borders,Health board,160,Quintile 4,192,20,02-Feb-20
NHS Borders,Health board,40.5,Quintile 5 - least deprived,43,6.2,02-Feb-20
NHS Dumfries & Galloway,Health board,108.5,Quintile 1 - most deprived,103,-5.1,02-Feb-20
NHS Dumfries & Galloway,Health board,288.5,Quintile 2,296,2.6,02-Feb-20
NHS Dumfries & Galloway,Health board,262,Quintile 3,240,-8.4,02-Feb-20
NHS Dumfries & Galloway,Health board,108.5,Quintile 4,119,9.7,02-Feb-20
NHS Dumfries & Galloway,Health board,58,Quintile 5 - least deprived,59,1.7,02-Feb-20
NHS Fife,Health board,400,Quintile 1 - most deprived,386,-3.5,02-Feb-20
NHS Fife,Health board,303,Quintile 2,305,0.7,02-Feb-20
NHS Fife,Health board,238.5,Quintile 3,222,-6.9,02-Feb-20
NHS Fife,Health board,129,Quintile 4,150,16.3,02-Feb-20
NHS Fife,Health board,142,Quintile 5 - least deprived,152,7,02-Feb-20
NHS Forth Valley,Health board,253.5,Quintile 1 - most deprived,241,-4.9,02-Feb-20
NHS Forth Valley,Health board,341.5,Quintile 2,331,-3.1,02-Feb-20
NHS Forth Valley,Health board,196,Quintile 3,211,7.7,02-Feb-20
NHS Forth Valley,Health board,174.5,Quintile 4,197,12.9,02-Feb-20
NHS Forth Valley,Health board,146,Quintile 5 - least deprived,171,17.1,02-Feb-20
NHS Grampian,Health board,143.5,Quintile 1 - most deprived,134,-6.6,02-Feb-20
NHS Grampian,Health board,360,Quintile 2,364,1.1,02-Feb-20
NHS Grampian,Health board,342.5,Quintile 3,378,10.4,02-Feb-20
NHS Grampian,Health board,464,Quintile 4,518,11.6,02-Feb-20
NHS Grampian,Health board,521,Quintile 5 - least deprived,583,11.9,02-Feb-20
NHS Greater Glasgow & Clyde,Health board,3051,Quintile 1 - most deprived,3057,0.2,02-Feb-20
NHS Greater Glasgow & Clyde,Health board,1209,Quintile 2,1187,-1.8,02-Feb-20
NHS Greater Glasgow & Clyde,Health board,852.5,Quintile 3,805,-5.6,02-Feb-20
NHS Greater Glasgow & Clyde,Health board,755.5,Quintile 4,732,-3.1,02-Feb-20
NHS Greater Glasgow & Clyde,Health board,787.5,Quintile 5 - least deprived,778,-1.2,02-Feb-20
NHS Highland,Health board,120,Quintile 1 - most deprived,111,-7.5,02-Feb-20
NHS Highland,Health board,220,Quintile 2,234,6.4,02-Feb-20
NHS Highland,Health board,310.5,Quintile 3,329,6,02-Feb-20
NHS Highland,Health board,319,Quintile 4,309,-3.1,02-Feb-20
NHS Highland,Health board,88.5,Quintile 5 - least deprived,93,5.1,02-Feb-20
NHS Lanarkshire,Health board,1288.5,Quintile 1 - most deprived,1288,0,02-Feb-20
NHS Lanarkshire,Health board,1114.5,Quintile 2,1131,1.5,02-Feb-20
NHS Lanarkshire,Health board,671.5,Quintile 3,677,0.8,02-Feb-20
NHS Lanarkshire,Health board,478.5,Quintile 4,456,-4.7,02-Feb-20
NHS Lanarkshire,Health board,313.5,Quintile 5 - least deprived,353,12.6,02-Feb-20
NHS Lothian,Health board,811,Quintile 1 - most deprived,809,-0.2,02-Feb-20
NHS Lothian,Health board,1100.5,Quintile 2,1097,-0.3,02-Feb-20
NHS Lothian,Health board,744.5,Quintile 3,740,-0.6,02-Feb-20
NHS Lothian,Health board,641.5,Quintile 4,686,6.9,02-Feb-20
NHS Lothian,Health board,860,Quintile 5 - least deprived,934,8.6,02-Feb-20
NHS Orkney,Health board,16.5,Quintile 2,17,3,02-Feb-20
NHS Orkney,Health board,41.5,Quintile 3,55,32.5,02-Feb-20
NHS Orkney,Health board,52,Quintile 4,43,-17.3,02-Feb-20
NHS Orkney,Health board,9.5,Quintile 5 - least deprived,6,-36.8,02-Feb-20
NHS Shetland,Health board,7,Quintile 2,10,42.9,02-Feb-20
NHS Shetland,Health board,42.5,Quintile 3,50,17.6,02-Feb-20
NHS Shetland,Health board,91.5,Quintile 4,83,-9.3,02-Feb-20
NHS Tayside,Health board,336,Quintile 1 - most deprived,314,-6.5,02-Feb-20
NHS Tayside,Health board,230.5,Quintile 2,259,12.4,02-Feb-20
NHS Tayside,Health board,265.5,Quintile 3,255,-4,02-Feb-20
NHS Tayside,Health board,309,Quintile 4,387,25.2,02-Feb-20
NHS Tayside,Health board,204,Quintile 5 - least deprived,207,1.5,02-Feb-20
NHS Western Isles,Health board,0.5,Quintile 1 - most deprived,5,900,02-Feb-20
NHS Western Isles,Health board,31,Quintile 2,34,9.7,02-Feb-20
NHS Western Isles,Health board,86,Quintile 3,74,-14,02-Feb-20
North Ayrshire,HSC partnership,369.5,Quintile 1 - most deprived,395,6.9,02-Feb-20
North Ayrshire,HSC partnership,160,Quintile 2,140,-12.5,02-Feb-20
North Ayrshire,HSC partnership,76.5,Quintile 3,99,29.4,02-Feb-20
North Ayrshire,HSC partnership,89,Quintile 4,72,-19.1,02-Feb-20
North Ayrshire,HSC partnership,49.5,Quintile 5 - least deprived,40,-19.2,02-Feb-20
North Lanarkshire,HSC partnership,929,Quintile 1 - most deprived,938,1,02-Feb-20
North Lanarkshire,HSC partnership,684.5,Quintile 2,677,-1.1,02-Feb-20
North Lanarkshire,HSC partnership,373.5,Quintile 3,362,-3.1,02-Feb-20
North Lanarkshire,HSC partnership,214,Quintile 4,209,-2.3,02-Feb-20
North Lanarkshire,HSC partnership,116.5,Quintile 5 - least deprived,142,21.9,02-Feb-20
Orkney Islands,HSC partnership,16.5,Quintile 2,17,3,02-Feb-20
Orkney Islands,HSC partnership,40.5,Quintile 3,55,35.8,02-Feb-20
Orkney Islands,HSC partnership,52.5,Quintile 4,44,-16.2,02-Feb-20
Orkney Islands,HSC partnership,9,Quintile 5 - least deprived,6,-33.3,02-Feb-20
Perth & Kinross,HSC partnership,56.5,Quintile 1 - most deprived,45,-20.4,02-Feb-20
Perth & Kinross,HSC partnership,80,Quintile 2,81,1.2,02-Feb-20
Perth & Kinross,HSC partnership,111,Quintile 3,90,-18.9,02-Feb-20
Perth & Kinross,HSC partnership,167.5,Quintile 4,226,34.9,02-Feb-20
Perth & Kinross,HSC partnership,77.5,Quintile 5 - least deprived,66,-14.8,02-Feb-20
Renfrewshire,HSC partnership,419.5,Quintile 1 - most deprived,372,-11.3,02-Feb-20
Renfrewshire,HSC partnership,226.5,Quintile 2,237,4.6,02-Feb-20
Renfrewshire,HSC partnership,185,Quintile 3,185,0,02-Feb-20
Renfrewshire,HSC partnership,156,Quintile 4,160,2.6,02-Feb-20
Renfrewshire,HSC partnership,140,Quintile 5 - least deprived,145,3.6,02-Feb-20
Scotland,Scotland,7348.5,Quintile 1 - most deprived,7290,-0.8,02-Feb-20
Scotland,Scotland,5815.5,Quintile 2,5866,0.9,02-Feb-20
Scotland,Scotland,4525.5,Quintile 3,4544,0.4,02-Feb-20
Scotland,Scotland,3913.5,Quintile 4,4094,4.6,02-Feb-20
Scotland,Scotland,3360,Quintile 5 - least deprived,3557,5.9,02-Feb-20
Scottish Borders,HSC partnership,38.5,Quintile 1 - most deprived,57,48.1,02-Feb-20
Scottish Borders,HSC partnership,91.5,Quintile 2,102,11.5,02-Feb-20
Scottish Borders,HSC partnership,170,Quintile 3,200,17.6,02-Feb-20
Scottish Borders,HSC partnership,171.5,Quintile 4,204,19,02-Feb-20
Scottish Borders,HSC partnership,38.5,Quintile 5 - least deprived,47,22.1,02-Feb-20
Shetland Islands,HSC partnership,5.5,Quintile 2,8,45.5,02-Feb-20
Shetland Islands,HSC partnership,39.5,Quintile 3,47,19,02-Feb-20
Shetland Islands,HSC partnership,91,Quintile 4,83,-8.8,02-Feb-20
South Ayrshire,HSC partnership,153,Quintile 1 - most deprived,140,-8.5,02-Feb-20
South Ayrshire,HSC partnership,167,Quintile 2,173,3.6,02-Feb-20
South Ayrshire,HSC partnership,128,Quintile 3,114,-10.9,02-Feb-20
South Ayrshire,HSC partnership,71.5,Quintile 4,90,25.9,02-Feb-20
South Ayrshire,HSC partnership,110,Quintile 5 - least deprived,102,-7.3,02-Feb-20
South Lanarkshire,HSC partnership,459,Quintile 1 - most deprived,421,-8.3,02-Feb-20
South Lanarkshire,HSC partnership,528,Quintile 2,545,3.2,02-Feb-20
South Lanarkshire,HSC partnership,368,Quintile 3,369,0.3,02-Feb-20
South Lanarkshire,HSC partnership,315.5,Quintile 4,303,-4,02-Feb-20
South Lanarkshire,HSC partnership,210.5,Quintile 5 - least deprived,198,-5.9,02-Feb-20
West Dunbartonshire,HSC partnership,173.5,Quintile 1 - most deprived,202,16.4,02-Feb-20
West Dunbartonshire,HSC partnership,89.5,Quintile 2,92,2.8,02-Feb-20
West Dunbartonshire,HSC partnership,51.5,Quintile 3,41,-20.4,02-Feb-20
West Dunbartonshire,HSC partnership,36,Quintile 4,38,5.6,02-Feb-20
West Dunbartonshire,HSC partnership,9,Quintile 5 - least deprived,8,-11.1,02-Feb-20
West Lothian,HSC partnership,229.5,Quintile 1 - most deprived,221,-3.7,02-Feb-20
West Lothian,HSC partnership,327.5,Quintile 2,333,1.7,02-Feb-20
West Lothian,HSC partnership,241.5,Quintile 3,236,-2.3,02-Feb-20
West Lothian,HSC partnership,145,Quintile 4,189,30.3,02-Feb-20
West Lothian,HSC partnership,125,Quintile 5 - least deprived,124,-0.8,02-Feb-20
Western Isles,HSC partnership,32,Quintile 2,33,3.1,02-Feb-20
Western Isles,HSC partnership,89.5,Quintile 3,80,-10.6,02-Feb-20
Aberdeen City,HSC partnership,120.5,Quintile 1 - most deprived,95,-21.2,09-Feb-20
Aberdeen City,HSC partnership,236,Quintile 2,215,-8.9,09-Feb-20
Aberdeen City,HSC partnership,149,Quintile 3,127,-14.8,09-Feb-20
Aberdeen City,HSC partnership,150.5,Quintile 4,153,1.7,09-Feb-20
Aberdeen City,HSC partnership,271,Quintile 5 - least deprived,270,-0.4,09-Feb-20
Aberdeenshire,HSC partnership,8,Quintile 1 - most deprived,5,-37.5,09-Feb-20
Aberdeenshire,HSC partnership,35.5,Quintile 2,43,21.1,09-Feb-20
Aberdeenshire,HSC partnership,83.5,Quintile 3,95,13.8,09-Feb-20
Aberdeenshire,HSC partnership,173.5,Quintile 4,220,26.8,09-Feb-20
Aberdeenshire,HSC partnership,183.5,Quintile 5 - least deprived,188,2.5,09-Feb-20
Angus,HSC partnership,21,Quintile 1 - most deprived,16,-23.8,09-Feb-20
Angus,HSC partnership,30,Quintile 2,33,10,09-Feb-20
Angus,HSC partnership,63,Quintile 3,87,38.1,09-Feb-20
Angus,HSC partnership,52,Quintile 4,44,-15.4,09-Feb-20
Angus,HSC partnership,38.5,Quintile 5 - least deprived,29,-24.7,09-Feb-20
Argyll & Bute,HSC partnership,14,Quintile 1 - most deprived,17,21.4,09-Feb-20
Argyll & Bute,HSC partnership,36,Quintile 2,43,19.4,09-Feb-20
Argyll & Bute,HSC partnership,84.5,Quintile 3,80,-5.3,09-Feb-20
Argyll & Bute,HSC partnership,67.5,Quintile 4,56,-17,09-Feb-20
Argyll & Bute,HSC partnership,18,Quintile 5 - least deprived,16,-11.1,09-Feb-20
Clackmannanshire & Stirling,HSC partnership,100,Quintile 1 - most deprived,116,16,09-Feb-20
Clackmannanshire & Stirling,HSC partnership,91.5,Quintile 2,99,8.2,09-Feb-20
Clackmannanshire & Stirling,HSC partnership,63.5,Quintile 3,56,-11.8,09-Feb-20
Clackmannanshire & Stirling,HSC partnership,82.5,Quintile 4,81,-1.8,09-Feb-20
Clackmannanshire & Stirling,HSC partnership,59,Quintile 5 - least deprived,74,25.4,09-Feb-20
Dumfries & Galloway,HSC partnership,121,Quintile 1 - most deprived,108,-10.7,09-Feb-20
Dumfries & Galloway,HSC partnership,284,Quintile 2,297,4.6,09-Feb-20
Dumfries & Galloway,HSC partnership,253.5,Quintile 3,246,-3,09-Feb-20
Dumfries & Galloway,HSC partnership,108,Quintile 4,99,-8.3,09-Feb-20
Dumfries & Galloway,HSC partnership,69,Quintile 5 - least deprived,68,-1.4,09-Feb-20
Dundee City,HSC partnership,245,Quintile 1 - most deprived,285,16.3,09-Feb-20
Dundee City,HSC partnership,111.5,Quintile 2,121,8.5,09-Feb-20
Dundee City,HSC partnership,68,Quintile 3,85,25,09-Feb-20
Dundee City,HSC partnership,80,Quintile 4,88,10,09-Feb-20
Dundee City,HSC partnership,70,Quintile 5 - least deprived,62,-11.4,09-Feb-20
East Ayrshire,HSC partnership,274.5,Quintile 1 - most deprived,260,-5.3,09-Feb-20
East Ayrshire,HSC partnership,203.5,Quintile 2,168,-17.4,09-Feb-20
East Ayrshire,HSC partnership,107,Quintile 3,97,-9.3,09-Feb-20
East Ayrshire,HSC partnership,82,Quintile 4,74,-9.8,09-Feb-20
East Ayrshire,HSC partnership,55,Quintile 5 - least deprived,48,-12.7,09-Feb-20
East Dunbartonshire,HSC partnership,28,Quintile 1 - most deprived,24,-14.3,09-Feb-20
East Dunbartonshire,HSC partnership,76,Quintile 2,62,-18.4,09-Feb-20
East Dunbartonshire,HSC partnership,26,Quintile 3,29,11.5,09-Feb-20
East Dunbartonshire,HSC partnership,69,Quintile 4,62,-10.1,09-Feb-20
East Dunbartonshire,HSC partnership,175,Quintile 5 - least deprived,196,12,09-Feb-20
East Lothian,HSC partnership,24.5,Quintile 1 - most deprived,25,2,09-Feb-20
East Lothian,HSC partnership,168.5,Quintile 2,148,-12.2,09-Feb-20
East Lothian,HSC partnership,102.5,Quintile 3,115,12.2,09-Feb-20
East Lothian,HSC partnership,135,Quintile 4,113,-16.3,09-Feb-20
East Lothian,HSC partnership,57.5,Quintile 5 - least deprived,53,-7.8,09-Feb-20
East Renfrewshire,HSC partnership,46,Quintile 1 - most deprived,34,-26.1,09-Feb-20
East Renfrewshire,HSC partnership,59,Quintile 2,50,-15.3,09-Feb-20
East Renfrewshire,HSC partnership,46.5,Quintile 3,45,-3.2,09-Feb-20
East Renfrewshire,HSC partnership,67,Quintile 4,43,-35.8,09-Feb-20
East Renfrewshire,HSC partnership,169.5,Quintile 5 - least deprived,158,-6.8,09-Feb-20
Edinburgh,HSC partnership,476,Quintile 1 - most deprived,497,4.4,09-Feb-20
Edinburgh,HSC partnership,358.5,Quintile 2,366,2.1,09-Feb-20
Edinburgh,HSC partnership,288.5,Quintile 3,295,2.3,09-Feb-20
Edinburgh,HSC partnership,286,Quintile 4,304,6.3,09-Feb-20
Edinburgh,HSC partnership,640.5,Quintile 5 - least deprived,583,-9,09-Feb-20
Falkirk,HSC partnership,148.5,Quintile 1 - most deprived,161,8.4,09-Feb-20
Falkirk,HSC partnership,235,Quintile 2,238,1.3,09-Feb-20
Falkirk,HSC partnership,109.5,Quintile 3,126,15.1,09-Feb-20
Falkirk,HSC partnership,107,Quintile 4,109,1.9,09-Feb-20
Falkirk,HSC partnership,95.5,Quintile 5 - least deprived,104,8.9,09-Feb-20
Fife,HSC partnership,413.5,Quintile 1 - most deprived,479,15.8,09-Feb-20
Fife,HSC partnership,307,Quintile 2,344,12.1,09-Feb-20
Fife,HSC partnership,245.5,Quintile 3,261,6.3,09-Feb-20
Fife,HSC partnership,168.5,Quintile 4,197,16.9,09-Feb-20
Fife,HSC partnership,189.5,Quintile 5 - least deprived,172,-9.2,09-Feb-20
Glasgow City,HSC partnership,2015,Quintile 1 - most deprived,1971,-2.2,09-Feb-20
Glasgow City,HSC partnership,575,Quintile 2,507,-11.8,09-Feb-20
Glasgow City,HSC partnership,358,Quintile 3,327,-8.7,09-Feb-20
Glasgow City,HSC partnership,263,Quintile 4,230,-12.5,09-Feb-20
Glasgow City,HSC partnership,203.5,Quintile 5 - least deprived,179,-12,09-Feb-20
Highland,HSC partnership,119,Quintile 1 - most deprived,98,-17.6,09-Feb-20
Highland,HSC partnership,195.5,Quintile 2,173,-11.5,09-Feb-20
Highland,HSC partnership,241.5,Quintile 3,251,3.9,09-Feb-20
Highland,HSC partnership,275,Quintile 4,289,5.1,09-Feb-20
Highland,HSC partnership,80.5,Quintile 5 - least deprived,94,16.8,09-Feb-20
Inverclyde,HSC partnership,306,Quintile 1 - most deprived,272,-11.1,09-Feb-20
Inverclyde,HSC partnership,84.5,Quintile 2,85,0.6,09-Feb-20
Inverclyde,HSC partnership,83.5,Quintile 3,74,-11.4,09-Feb-20
