Area_name,Area_type,Average_2018_2019,Category,Count,Type,Variation (%),Week_ending
Glasgow City,HSC partnership,194,Quintile 5 - least deprived,150,Deprivation,-22.7,28 Jun 20
Highland,HSC partnership,115,Quintile 1 - most deprived,91,Deprivation,-20.9,28 Jun 20
Highland,HSC partnership,234,Quintile 2,164,Deprivation,-29.9,28 Jun 20
Highland,HSC partnership,264.5,Quintile 3,227,Deprivation,-14.2,28 Jun 20
Highland,HSC partnership,293.5,Quintile 4,280,Deprivation,-4.6,28 Jun 20
Highland,HSC partnership,100,Quintile 5 - least deprived,66,Deprivation,-34,28 Jun 20
Inverclyde,HSC partnership,296.5,Quintile 1 - most deprived,215,Deprivation,-27.5,28 Jun 20
Inverclyde,HSC partnership,79.5,Quintile 2,51,Deprivation,-35.8,28 Jun 20
Inverclyde,HSC partnership,96,Quintile 3,59,Deprivation,-38.5,28 Jun 20
Inverclyde,HSC partnership,87,Quintile 4,37,Deprivation,-57.5,28 Jun 20
Inverclyde,HSC partnership,46.5,Quintile 5 - least deprived,37,Deprivation,-20.4,28 Jun 20
Midlothian,HSC partnership,62.5,Quintile 1 - most deprived,68,Deprivation,8.8,28 Jun 20
Midlothian,HSC partnership,217,Quintile 2,166,Deprivation,-23.5,28 Jun 20
Midlothian,HSC partnership,118,Quintile 3,108,Deprivation,-8.5,28 Jun 20
Midlothian,HSC partnership,64,Quintile 4,70,Deprivation,9.4,28 Jun 20
Midlothian,HSC partnership,58.5,Quintile 5 - least deprived,56,Deprivation,-4.3,28 Jun 20
Moray,HSC partnership,101.5,Quintile 2,90,Deprivation,-11.3,28 Jun 20
Moray,HSC partnership,158.5,Quintile 3,114,Deprivation,-28.1,28 Jun 20
Moray,HSC partnership,174,Quintile 4,154,Deprivation,-11.5,28 Jun 20
Moray,HSC partnership,89,Quintile 5 - least deprived,62,Deprivation,-30.3,28 Jun 20
NHS Ayrshire & Arran,Health board,895,Quintile 1 - most deprived,721,Deprivation,-19.4,28 Jun 20
NHS Ayrshire & Arran,Health board,588.5,Quintile 2,502,Deprivation,-14.7,28 Jun 20
NHS Ayrshire & Arran,Health board,358.5,Quintile 3,245,Deprivation,-31.7,28 Jun 20
NHS Ayrshire & Arran,Health board,255,Quintile 4,203,Deprivation,-20.4,28 Jun 20
NHS Ayrshire & Arran,Health board,214.5,Quintile 5 - least deprived,160,Deprivation,-25.4,28 Jun 20
NHS Borders,Health board,49.5,Quintile 1 - most deprived,41,Deprivation,-17.2,28 Jun 20
NHS Borders,Health board,117,Quintile 2,104,Deprivation,-11.1,28 Jun 20
NHS Borders,Health board,221,Quintile 3,188,Deprivation,-14.9,28 Jun 20
NHS Borders,Health board,205,Quintile 4,136,Deprivation,-33.7,28 Jun 20
NHS Borders,Health board,47,Quintile 5 - least deprived,43,Deprivation,-8.5,28 Jun 20
NHS Dumfries & Galloway,Health board,135.5,Quintile 1 - most deprived,78,Deprivation,-42.4,28 Jun 20
NHS Dumfries & Galloway,Health board,302.5,Quintile 2,244,Deprivation,-19.3,28 Jun 20
NHS Dumfries & Galloway,Health board,304.5,Quintile 3,221,Deprivation,-27.4,28 Jun 20
NHS Dumfries & Galloway,Health board,133,Quintile 4,87,Deprivation,-34.6,28 Jun 20
NHS Dumfries & Galloway,Health board,68.5,Quintile 5 - least deprived,45,Deprivation,-34.3,28 Jun 20
NHS Fife,Health board,394.5,Quintile 1 - most deprived,337,Deprivation,-14.6,28 Jun 20
NHS Fife,Health board,349.5,Quintile 2,298,Deprivation,-14.7,28 Jun 20
NHS Fife,Health board,259,Quintile 3,200,Deprivation,-22.8,28 Jun 20
NHS Fife,Health board,162,Quintile 4,124,Deprivation,-23.5,28 Jun 20
NHS Fife,Health board,160.5,Quintile 5 - least deprived,116,Deprivation,-27.7,28 Jun 20
NHS Forth Valley,Health board,302,Quintile 1 - most deprived,213,Deprivation,-29.5,28 Jun 20
NHS Forth Valley,Health board,405.5,Quintile 2,250,Deprivation,-38.3,28 Jun 20
NHS Forth Valley,Health board,241.5,Quintile 3,147,Deprivation,-39.1,28 Jun 20
NHS Forth Valley,Health board,201.5,Quintile 4,143,Deprivation,-29,28 Jun 20
NHS Forth Valley,Health board,181.5,Quintile 5 - least deprived,124,Deprivation,-31.7,28 Jun 20
NHS Grampian,Health board,153,Quintile 1 - most deprived,99,Deprivation,-35.3,28 Jun 20
NHS Grampian,Health board,403.5,Quintile 2,360,Deprivation,-10.8,28 Jun 20
NHS Grampian,Health board,417.5,Quintile 3,333,Deprivation,-20.2,28 Jun 20
NHS Grampian,Health board,516.5,Quintile 4,460,Deprivation,-10.9,28 Jun 20
NHS Grampian,Health board,575,Quintile 5 - least deprived,462,Deprivation,-19.7,28 Jun 20
NHS Greater Glasgow & Clyde,Health board,3233,Quintile 1 - most deprived,2189,Deprivation,-32.3,28 Jun 20
NHS Greater Glasgow & Clyde,Health board,1309,Quintile 2,884,Deprivation,-32.5,28 Jun 20
NHS Greater Glasgow & Clyde,Health board,927,Quintile 3,585,Deprivation,-36.9,28 Jun 20
NHS Greater Glasgow & Clyde,Health board,792,Quintile 4,493,Deprivation,-37.8,28 Jun 20
NHS Greater Glasgow & Clyde,Health board,801.5,Quintile 5 - least deprived,573,Deprivation,-28.5,28 Jun 20
NHS Highland,Health board,127.5,Quintile 1 - most deprived,103,Deprivation,-19.2,28 Jun 20
NHS Highland,Health board,270,Quintile 2,203,Deprivation,-24.8,28 Jun 20
NHS Highland,Health board,346,Quintile 3,281,Deprivation,-18.8,28 Jun 20
NHS Highland,Health board,342.5,Quintile 4,297,Deprivation,-13.3,28 Jun 20
NHS Highland,Health board,113.5,Quintile 5 - least deprived,67,Deprivation,-41,28 Jun 20
NHS Lanarkshire,Health board,1324,Quintile 1 - most deprived,1208,Deprivation,-8.8,28 Jun 20
NHS Lanarkshire,Health board,1206,Quintile 2,1045,Deprivation,-13.3,28 Jun 20
NHS Lanarkshire,Health board,705,Quintile 3,599,Deprivation,-15,28 Jun 20
NHS Lanarkshire,Health board,488,Quintile 4,439,Deprivation,-10,28 Jun 20
NHS Lanarkshire,Health board,350.5,Quintile 5 - least deprived,336,Deprivation,-4.1,28 Jun 20
NHS Lothian,Health board,820,Quintile 1 - most deprived,726,Deprivation,-11.5,28 Jun 20
NHS Lothian,Health board,1137,Quintile 2,924,Deprivation,-18.7,28 Jun 20
NHS Lothian,Health board,752,Quintile 3,651,Deprivation,-13.4,28 Jun 20
NHS Lothian,Health board,665,Quintile 4,555,Deprivation,-16.5,28 Jun 20
NHS Lothian,Health board,875,Quintile 5 - least deprived,699,Deprivation,-20.1,28 Jun 20
NHS Orkney,Health board,18,Quintile 2,15,Deprivation,-16.7,28 Jun 20
NHS Orkney,Health board,39,Quintile 3,31,Deprivation,-20.5,28 Jun 20
NHS Orkney,Health board,65.5,Quintile 4,42,Deprivation,-35.9,28 Jun 20
NHS Orkney,Health board,15.5,Quintile 5 - least deprived,8,Deprivation,-48.4,28 Jun 20
NHS Shetland,Health board,10.5,Quintile 2,11,Deprivation,4.8,28 Jun 20
NHS Shetland,Health board,52.5,Quintile 3,35,Deprivation,-33.3,28 Jun 20
NHS Shetland,Health board,82.5,Quintile 4,72,Deprivation,-12.7,28 Jun 20
NHS Tayside,Health board,350.5,Quintile 1 - most deprived,299,Deprivation,-14.7,28 Jun 20
NHS Tayside,Health board,270,Quintile 2,215,Deprivation,-20.4,28 Jun 20
NHS Tayside,Health board,301,Quintile 3,233,Deprivation,-22.6,28 Jun 20
NHS Tayside,Health board,374.5,Quintile 4,274,Deprivation,-26.8,28 Jun 20
NHS Tayside,Health board,259.5,Quintile 5 - least deprived,165,Deprivation,-36.4,28 Jun 20
NHS Western Isles,Health board,36,Quintile 2,18,Deprivation,-50,28 Jun 20
NHS Western Isles,Health board,89,Quintile 3,70,Deprivation,-21.3,28 Jun 20
NHS Western Isles,Health board,9,Quintile 4,8,Deprivation,-11.1,28 Jun 20
North Ayrshire,HSC partnership,426,Quintile 1 - most deprived,341,Deprivation,-20,28 Jun 20
North Ayrshire,HSC partnership,176,Quintile 2,162,Deprivation,-8,28 Jun 20
North Ayrshire,HSC partnership,101.5,Quintile 3,54,Deprivation,-46.8,28 Jun 20
North Ayrshire,HSC partnership,110.5,Quintile 4,72,Deprivation,-34.8,28 Jun 20
North Ayrshire,HSC partnership,55.5,Quintile 5 - least deprived,47,Deprivation,-15.3,28 Jun 20
North Lanarkshire,HSC partnership,959,Quintile 1 - most deprived,816,Deprivation,-14.9,28 Jun 20
North Lanarkshire,HSC partnership,705,Quintile 2,595,Deprivation,-15.6,28 Jun 20
North Lanarkshire,HSC partnership,394,Quintile 3,316,Deprivation,-19.8,28 Jun 20
North Lanarkshire,HSC partnership,236,Quintile 4,172,Deprivation,-27.1,28 Jun 20
North Lanarkshire,HSC partnership,151,Quintile 5 - least deprived,125,Deprivation,-17.2,28 Jun 20
Orkney Islands,HSC partnership,18,Quintile 2,14,Deprivation,-22.2,28 Jun 20
Orkney Islands,HSC partnership,37.5,Quintile 3,31,Deprivation,-17.3,28 Jun 20
Orkney Islands,HSC partnership,63.5,Quintile 4,42,Deprivation,-33.9,28 Jun 20
Orkney Islands,HSC partnership,13.5,Quintile 5 - least deprived,8,Deprivation,-40.7,28 Jun 20
Perth & Kinross,HSC partnership,55,Quintile 1 - most deprived,51,Deprivation,-7.3,28 Jun 20
Perth & Kinross,HSC partnership,99,Quintile 2,62,Deprivation,-37.4,28 Jun 20
Perth & Kinross,HSC partnership,137,Quintile 3,89,Deprivation,-35,28 Jun 20
Perth & Kinross,HSC partnership,225.5,Quintile 4,153,Deprivation,-32.2,28 Jun 20
Perth & Kinross,HSC partnership,104.5,Quintile 5 - least deprived,62,Deprivation,-40.7,28 Jun 20
Renfrewshire,HSC partnership,455.5,Quintile 1 - most deprived,268,Deprivation,-41.2,28 Jun 20
Renfrewshire,HSC partnership,260,Quintile 2,152,Deprivation,-41.5,28 Jun 20
Renfrewshire,HSC partnership,196.5,Quintile 3,104,Deprivation,-47.1,28 Jun 20
Renfrewshire,HSC partnership,157.5,Quintile 4,100,Deprivation,-36.5,28 Jun 20
Renfrewshire,HSC partnership,139,Quintile 5 - least deprived,93,Deprivation,-33.1,28 Jun 20
Scotland,Scotland,7788.5,Quintile 1 - most deprived,6014,Deprivation,-22.8,28 Jun 20
Scotland,Scotland,6423,Quintile 2,5073,Deprivation,-21,28 Jun 20
Scotland,Scotland,5013.5,Quintile 3,3819,Deprivation,-23.8,28 Jun 20
Scotland,Scotland,4292,Quintile 4,3333,Deprivation,-22.3,28 Jun 20
Scotland,Scotland,3667.5,Quintile 5 - least deprived,2798,Deprivation,-23.7,28 Jun 20
Scottish Borders,HSC partnership,49.5,Quintile 1 - most deprived,41,Deprivation,-17.2,28 Jun 20
Scottish Borders,HSC partnership,122,Quintile 2,105,Deprivation,-13.9,28 Jun 20
Scottish Borders,HSC partnership,221,Quintile 3,191,Deprivation,-13.6,28 Jun 20
Scottish Borders,HSC partnership,215,Quintile 4,148,Deprivation,-31.2,28 Jun 20
Scottish Borders,HSC partnership,45.5,Quintile 5 - least deprived,50,Deprivation,9.9,28 Jun 20
Shetland Islands,HSC partnership,10,Quintile 2,11,Deprivation,10,28 Jun 20
Shetland Islands,HSC partnership,52,Quintile 3,35,Deprivation,-32.7,28 Jun 20
Shetland Islands,HSC partnership,81,Quintile 4,72,Deprivation,-11.1,28 Jun 20
South Ayrshire,HSC partnership,162,Quintile 1 - most deprived,127,Deprivation,-21.6,28 Jun 20
South Ayrshire,HSC partnership,206,Quintile 2,155,Deprivation,-24.8,28 Jun 20
South Ayrshire,HSC partnership,156.5,Quintile 3,99,Deprivation,-36.7,28 Jun 20
South Ayrshire,HSC partnership,83,Quintile 4,67,Deprivation,-19.3,28 Jun 20
South Ayrshire,HSC partnership,110.5,Quintile 5 - least deprived,73,Deprivation,-33.9,28 Jun 20
South Lanarkshire,HSC partnership,482.5,Quintile 1 - most deprived,449,Deprivation,-6.9,28 Jun 20
South Lanarkshire,HSC partnership,599.5,Quintile 2,533,Deprivation,-11.1,28 Jun 20
South Lanarkshire,HSC partnership,383,Quintile 3,347,Deprivation,-9.4,28 Jun 20
South Lanarkshire,HSC partnership,319,Quintile 4,306,Deprivation,-4.1,28 Jun 20
South Lanarkshire,HSC partnership,217.5,Quintile 5 - least deprived,198,Deprivation,-9,28 Jun 20
West Dunbartonshire,HSC partnership,204.5,Quintile 1 - most deprived,148,Deprivation,-27.6,28 Jun 20
West Dunbartonshire,HSC partnership,116,Quintile 2,80,Deprivation,-31,28 Jun 20
West Dunbartonshire,HSC partnership,48.5,Quintile 3,43,Deprivation,-11.3,28 Jun 20
West Dunbartonshire,HSC partnership,33.5,Quintile 4,14,Deprivation,-58.2,28 Jun 20
West Dunbartonshire,HSC partnership,10.5,Quintile 5 - least deprived,6,Deprivation,-42.9,28 Jun 20
West Lothian,HSC partnership,246.5,Quintile 1 - most deprived,211,Deprivation,-14.4,28 Jun 20
West Lothian,HSC partnership,341.5,Quintile 2,268,Deprivation,-21.5,28 Jun 20
West Lothian,HSC partnership,241,Quintile 3,184,Deprivation,-23.7,28 Jun 20
West Lothian,HSC partnership,158,Quintile 4,140,Deprivation,-11.4,28 Jun 20
West Lothian,HSC partnership,125,Quintile 5 - least deprived,95,Deprivation,-24,28 Jun 20
Western Isles,HSC partnership,35.5,Quintile 2,18,Deprivation,-49.3,28 Jun 20
Western Isles,HSC partnership,88,Quintile 3,70,Deprivation,-20.5,28 Jun 20
Western Isles,HSC partnership,6.5,Quintile 4,7,Deprivation,7.7,28 Jun 20
Aberdeen City,HSC partnership,127.5,Quintile 1 - most deprived,96,Deprivation,-24.7,05 Jul 20
Aberdeen City,HSC partnership,256,Quintile 2,215,Deprivation,-16,05 Jul 20
Aberdeen City,HSC partnership,152,Quintile 3,116,Deprivation,-23.7,05 Jul 20
Aberdeen City,HSC partnership,151.5,Quintile 4,110,Deprivation,-27.4,05 Jul 20
Aberdeen City,HSC partnership,255,Quintile 5 - least deprived,187,Deprivation,-26.7,05 Jul 20
Aberdeenshire,HSC partnership,12,Quintile 1 - most deprived,7,Deprivation,-41.7,05 Jul 20
Aberdeenshire,HSC partnership,35,Quintile 2,28,Deprivation,-20,05 Jul 20
Aberdeenshire,HSC partnership,106,Quintile 3,90,Deprivation,-15.1,05 Jul 20
Aberdeenshire,HSC partnership,217.5,Quintile 4,180,Deprivation,-17.2,05 Jul 20
Aberdeenshire,HSC partnership,217,Quintile 5 - least deprived,188,Deprivation,-13.4,05 Jul 20
Angus,HSC partnership,18.5,Quintile 1 - most deprived,12,Deprivation,-35.1,05 Jul 20
Angus,HSC partnership,41,Quintile 2,28,Deprivation,-31.7,05 Jul 20
Angus,HSC partnership,75,Quintile 3,67,Deprivation,-10.7,05 Jul 20
Angus,HSC partnership,49.5,Quintile 4,39,Deprivation,-21.2,05 Jul 20
Angus,HSC partnership,39.5,Quintile 5 - least deprived,44,Deprivation,11.4,05 Jul 20
Argyll & Bute,HSC partnership,16.5,Quintile 1 - most deprived,23,Deprivation,39.4,05 Jul 20
Argyll & Bute,HSC partnership,48,Quintile 2,24,Deprivation,-50,05 Jul 20
Argyll & Bute,HSC partnership,75,Quintile 3,53,Deprivation,-29.3,05 Jul 20
Argyll & Bute,HSC partnership,63.5,Quintile 4,51,Deprivation,-19.7,05 Jul 20
Argyll & Bute,HSC partnership,8.5,Quintile 5 - least deprived,11,Deprivation,29.4,05 Jul 20
Clackmannanshire & Stirling,HSC partnership,112.5,Quintile 1 - most deprived,104,Deprivation,-7.6,05 Jul 20
Clackmannanshire & Stirling,HSC partnership,107.5,Quintile 2,87,Deprivation,-19.1,05 Jul 20
Clackmannanshire & Stirling,HSC partnership,68,Quintile 3,39,Deprivation,-42.6,05 Jul 20
Clackmannanshire & Stirling,HSC partnership,90,Quintile 4,54,Deprivation,-40,05 Jul 20
Clackmannanshire & Stirling,HSC partnership,71,Quintile 5 - least deprived,54,Deprivation,-23.9,05 Jul 20
Dumfries & Galloway,HSC partnership,111.5,Quintile 1 - most deprived,110,Deprivation,-1.3,05 Jul 20
Dumfries & Galloway,HSC partnership,320.5,Quintile 2,219,Deprivation,-31.7,05 Jul 20
Dumfries & Galloway,HSC partnership,275.5,Quintile 3,206,Deprivation,-25.2,05 Jul 20
Dumfries & Galloway,HSC partnership,118,Quintile 4,83,Deprivation,-29.7,05 Jul 20
Dumfries & Galloway,HSC partnership,59,Quintile 5 - least deprived,43,Deprivation,-27.1,05 Jul 20
Dundee City,HSC partnership,265.5,Quintile 1 - most deprived,205,Deprivation,-22.8,05 Jul 20
Dundee City,HSC partnership,118.5,Quintile 2,98,Deprivation,-17.3,05 Jul 20
Dundee City,HSC partnership,55.5,Quintile 3,43,Deprivation,-22.5,05 Jul 20
Dundee City,HSC partnership,58,Quintile 4,49,Deprivation,-15.5,05 Jul 20
Dundee City,HSC partnership,62.5,Quintile 5 - least deprived,50,Deprivation,-20,05 Jul 20
East Ayrshire,HSC partnership,276,Quintile 1 - most deprived,238,Deprivation,-13.8,05 Jul 20
East Ayrshire,HSC partnership,210.5,Quintile 2,148,Deprivation,-29.7,05 Jul 20
East Ayrshire,HSC partnership,107.5,Quintile 3,96,Deprivation,-10.7,05 Jul 20
East Ayrshire,HSC partnership,66,Quintile 4,70,Deprivation,6.1,05 Jul 20
East Ayrshire,HSC partnership,56,Quintile 5 - least deprived,56,Deprivation,0,05 Jul 20
East Dunbartonshire,HSC partnership,28.5,Quintile 1 - most deprived,20,Deprivation,-29.8,05 Jul 20
East Dunbartonshire,HSC partnership,71,Quintile 2,62,Deprivation,-12.7,05 Jul 20
East Dunbartonshire,HSC partnership,38.5,Quintile 3,25,Deprivation,-35.1,05 Jul 20
East Dunbartonshire,HSC partnership,77.5,Quintile 4,45,Deprivation,-41.9,05 Jul 20
East Dunbartonshire,HSC partnership,195,Quintile 5 - least deprived,119,Deprivation,-39,05 Jul 20
East Lothian,HSC partnership,26,Quintile 1 - most deprived,14,Deprivation,-46.2,05 Jul 20
East Lothian,HSC partnership,155,Quintile 2,158,Deprivation,1.9,05 Jul 20
East Lothian,HSC partnership,85.5,Quintile 3,70,Deprivation,-18.1,05 Jul 20
East Lothian,HSC partnership,103,Quintile 4,118,Deprivation,14.6,05 Jul 20
East Lothian,HSC partnership,49.5,Quintile 5 - least deprived,52,Deprivation,5.1,05 Jul 20
East Renfrewshire,HSC partnership,54.5,Quintile 1 - most deprived,28,Deprivation,-48.6,05 Jul 20
East Renfrewshire,HSC partnership,49.5,Quintile 2,51,Deprivation,3,05 Jul 20
East Renfrewshire,HSC partnership,50.5,Quintile 3,38,Deprivation,-24.8,05 Jul 20
East Renfrewshire,HSC partnership,53.5,Quintile 4,46,Deprivation,-14,05 Jul 20
East Renfrewshire,HSC partnership,181,Quintile 5 - least deprived,150,Deprivation,-17.1,05 Jul 20
Edinburgh,HSC partnership,479,Quintile 1 - most deprived,381,Deprivation,-20.5,05 Jul 20
Edinburgh,HSC partnership,335.5,Quintile 2,282,Deprivation,-15.9,05 Jul 20
Edinburgh,HSC partnership,263,Quintile 3,184,Deprivation,-30,05 Jul 20
Edinburgh,HSC partnership,279.5,Quintile 4,225,Deprivation,-19.5,05 Jul 20
Edinburgh,HSC partnership,549.5,Quintile 5 - least deprived,424,Deprivation,-22.8,05 Jul 20
Falkirk,HSC partnership,172.5,Quintile 1 - most deprived,97,Deprivation,-43.8,05 Jul 20
Falkirk,HSC partnership,267.5,Quintile 2,169,Deprivation,-36.8,05 Jul 20
Falkirk,HSC partnership,140,Quintile 3,76,Deprivation,-45.7,05 Jul 20
Falkirk,HSC partnership,119,Quintile 4,69,Deprivation,-42,05 Jul 20
Falkirk,HSC partnership,101.5,Quintile 5 - least deprived,63,Deprivation,-37.9,05 Jul 20
Fife,HSC partnership,450,Quintile 1 - most deprived,331,Deprivation,-26.4,05 Jul 20
Fife,HSC partnership,340,Quintile 2,250,Deprivation,-26.5,05 Jul 20
Fife,HSC partnership,288.5,Quintile 3,211,Deprivation,-26.9,05 Jul 20
Fife,HSC partnership,191.5,Quintile 4,118,Deprivation,-38.4,05 Jul 20
Fife,HSC partnership,173,Quintile 5 - least deprived,134,Deprivation,-22.5,05 Jul 20
Glasgow City,HSC partnership,2124,Quintile 1 - most deprived,1495,Deprivation,-29.6,05 Jul 20
Glasgow City,HSC partnership,587.5,Quintile 2,410,Deprivation,-30.2,05 Jul 20
Glasgow City,HSC partnership,327.5,Quintile 3,242,Deprivation,-26.1,05 Jul 20
Glasgow City,HSC partnership,249.5,Quintile 4,174,Deprivation,-30.3,05 Jul 20
Glasgow City,HSC partnership,195,Quintile 5 - least deprived,151,Deprivation,-22.6,05 Jul 20
Highland,HSC partnership,115,Quintile 1 - most deprived,102,Deprivation,-11.3,05 Jul 20
Highland,HSC partnership,216.5,Quintile 2,138,Deprivation,-36.3,05 Jul 20
Highland,HSC partnership,272.5,Quintile 3,200,Deprivation,-26.6,05 Jul 20
Highland,HSC partnership,298,Quintile 4,204,Deprivation,-31.5,05 Jul 20
Highland,HSC partnership,94,Quintile 5 - least deprived,64,Deprivation,-31.9,05 Jul 20
Inverclyde,HSC partnership,345,Quintile 1 - most deprived,231,Deprivation,-33,05 Jul 20
Inverclyde,HSC partnership,86.5,Quintile 2,48,Deprivation,-44.5,05 Jul 20
Inverclyde,HSC partnership,83.5,Quintile 3,51,Deprivation,-38.9,05 Jul 20
Inverclyde,HSC partnership,87,Quintile 4,62,Deprivation,-28.7,05 Jul 20
Inverclyde,HSC partnership,54,Quintile 5 - least deprived,30,Deprivation,-44.4,05 Jul 20
Midlothian,HSC partnership,73,Quintile 1 - most deprived,47,Deprivation,-35.6,05 Jul 20
Midlothian,HSC partnership,206,Quintile 2,143,Deprivation,-30.6,05 Jul 20
Midlothian,HSC partnership,108.5,Quintile 3,106,Deprivation,-2.3,05 Jul 20
Midlothian,HSC partnership,67,Quintile 4,52,Deprivation,-22.4,05 Jul 20
Midlothian,HSC partnership,60.5,Quintile 5 - least deprived,44,Deprivation,-27.3,05 Jul 20
Moray,HSC partnership,10,Quintile 1 - most deprived,6,Deprivation,-40,05 Jul 20
Moray,HSC partnership,95,Quintile 2,73,Deprivation,-23.2,05 Jul 20
Moray,HSC partnership,142.5,Quintile 3,126,Deprivation,-11.6,05 Jul 20
Moray,HSC partnership,176,Quintile 4,125,Deprivation,-29,05 Jul 20
Moray,HSC partnership,82.5,Quintile 5 - least deprived,56,Deprivation,-32.1,05 Jul 20
NHS Ayrshire & Arran,Health board,850,Quintile 1 - most deprived,660,Deprivation,-22.4,05 Jul 20
NHS Ayrshire & Arran,Health board,566,Quintile 2,435,Deprivation,-23.1,05 Jul 20
NHS Ayrshire & Arran,Health board,317,Quintile 3,284,Deprivation,-10.4,05 Jul 20
NHS Ayrshire & Arran,Health board,208.5,Quintile 4,187,Deprivation,-10.3,05 Jul 20
NHS Ayrshire & Arran,Health board,203.5,Quintile 5 - least deprived,162,Deprivation,-20.4,05 Jul 20
NHS Borders,Health board,59.5,Quintile 1 - most deprived,35,Deprivation,-41.2,05 Jul 20
NHS Borders,Health board,117.5,Quintile 2,85,Deprivation,-27.7,05 Jul 20
NHS Borders,Health board,196.5,Quintile 3,172,Deprivation,-12.5,05 Jul 20
NHS Borders,Health board,183.5,Quintile 4,140,Deprivation,-23.7,05 Jul 20
NHS Borders,Health board,45,Quintile 5 - least deprived,33,Deprivation,-26.7,05 Jul 20
NHS Dumfries & Galloway,Health board,129.5,Quintile 1 - most deprived,111,Deprivation,-14.3,05 Jul 20
NHS Dumfries & Galloway,Health board,326.5,Quintile 2,227,Deprivation,-30.5,05 Jul 20
NHS Dumfries & Galloway,Health board,278.5,Quintile 3,204,Deprivation,-26.8,05 Jul 20
NHS Dumfries & Galloway,Health board,122,Quintile 4,85,Deprivation,-30.3,05 Jul 20
NHS Dumfries & Galloway,Health board,68.5,Quintile 5 - least deprived,45,Deprivation,-34.3,05 Jul 20
NHS Fife,Health board,430.5,Quintile 1 - most deprived,328,Deprivation,-23.8,05 Jul 20
NHS Fife,Health board,326,Quintile 2,241,Deprivation,-26.1,05 Jul 20
NHS Fife,Health board,247,Quintile 3,182,Deprivation,-26.3,05 Jul 20
NHS Fife,Health board,146.5,Quintile 4,97,Deprivation,-33.8,05 Jul 20
NHS Fife,Health board,140,Quintile 5 - least deprived,117,Deprivation,-16.4,05 Jul 20
NHS Forth Valley,Health board,293.5,Quintile 1 - most deprived,206,Deprivation,-29.8,05 Jul 20
NHS Forth Valley,Health board,379,Quintile 2,263,Deprivation,-30.6,05 Jul 20
NHS Forth Valley,Health board,222.5,Quintile 3,129,Deprivation,-42,05 Jul 20
NHS Forth Valley,Health board,202,Quintile 4,124,Deprivation,-38.6,05 Jul 20
NHS Forth Valley,Health board,163.5,Quintile 5 - least deprived,121,Deprivation,-26,05 Jul 20
NHS Grampian,Health board,160,Quintile 1 - most deprived,111,Deprivation,-30.6,05 Jul 20
NHS Grampian,Health board,390,Quintile 2,317,Deprivation,-18.7,05 Jul 20
NHS Grampian,Health board,403,Quintile 3,333,Deprivation,-17.4,05 Jul 20
NHS Grampian,Health board,538,Quintile 4,421,Deprivation,-21.7,05 Jul 20
NHS Grampian,Health board,545,Quintile 5 - least deprived,433,Deprivation,-20.6,05 Jul 20
NHS Greater Glasgow & Clyde,Health board,3234,Quintile 1 - most deprived,2291,Deprivation,-29.2,05 Jul 20
NHS Greater Glasgow & Clyde,Health board,1265.5,Quintile 2,826,Deprivation,-34.7,05 Jul 20
NHS Greater Glasgow & Clyde,Health board,854,Quintile 3,582,Deprivation,-31.9,05 Jul 20
NHS Greater Glasgow & Clyde,Health board,788.5,Quintile 4,501,Deprivation,-36.5,05 Jul 20
NHS Greater Glasgow & Clyde,Health board,806.5,Quintile 5 - least deprived,577,Deprivation,-28.5,05 Jul 20
NHS Highland,Health board,131,Quintile 1 - most deprived,114,Deprivation,-13,05 Jul 20
NHS Highland,Health board,255.5,Quintile 2,161,Deprivation,-37,05 Jul 20
NHS Highland,Health board,336,Quintile 3,244,Deprivation,-27.4,05 Jul 20
NHS Highland,Health board,341.5,Quintile 4,240,Deprivation,-29.7,05 Jul 20
NHS Highland,Health board,123,Quintile 5 - least deprived,70,Deprivation,-43.1,05 Jul 20
NHS Lanarkshire,Health board,1373,Quintile 1 - most deprived,1177,Deprivation,-14.3,05 Jul 20
NHS Lanarkshire,Health board,1145,Quintile 2,956,Deprivation,-16.5,05 Jul 20
NHS Lanarkshire,Health board,682,Quintile 3,594,Deprivation,-12.9,05 Jul 20
NHS Lanarkshire,Health board,490,Quintile 4,401,Deprivation,-18.2,05 Jul 20
NHS Lanarkshire,Health board,324,Quintile 5 - least deprived,265,Deprivation,-18.2,05 Jul 20
NHS Lothian,Health board,858.5,Quintile 1 - most deprived,640,Deprivation,-25.5,05 Jul 20
NHS Lothian,Health board,1030.5,Quintile 2,848,Deprivation,-17.7,05 Jul 20
NHS Lothian,Health board,683,Quintile 3,572,Deprivation,-16.3,05 Jul 20
NHS Lothian,Health board,618.5,Quintile 4,532,Deprivation,-14,05 Jul 20
NHS Lothian,Health board,776,Quintile 5 - least deprived,616,Deprivation,-20.6,05 Jul 20
NHS Orkney,Health board,20,Quintile 2,14,Deprivation,-30,05 Jul 20
NHS Orkney,Health board,43,Quintile 3,22,Deprivation,-48.8,05 Jul 20
NHS Orkney,Health board,55.5,Quintile 4,57,Deprivation,2.7,05 Jul 20
NHS Orkney,Health board,10,Quintile 5 - least deprived,11,Deprivation,10,05 Jul 20
NHS Shetland,Health board,41,Quintile 3,38,Deprivation,-7.3,05 Jul 20
NHS Shetland,Health board,87.5,Quintile 4,68,Deprivation,-22.3,05 Jul 20
